"","LatBand","Year","SampleID","Species","Abundance"
"1",56,1985,"55.9167_-6.7167","Agonus cataphractus",1
"2",57,1985,"56.9167_-7.0167","Agonus cataphractus",1
"3",58,1985,"57.9167_-6.2","Agonus cataphractus",1
"4",59,1985,"58.65_-4.3667","Agonus cataphractus",3
"5",59,1985,"58.8_-4.1","Agonus cataphractus",2
"6",58.5,1986,"58.3833_-5.8","Agonus cataphractus",1
"7",59,1986,"58.6_-5.9333","Agonus cataphractus",2
"8",59,1986,"58.7_-4.1167","Agonus cataphractus",3
"9",56,1987,"55.9667_-6.6833","Agonus cataphractus",5
"10",59,1988,"58.7333_-5.28","Agonus cataphractus",1
"11",60,1988,"59.7_-4.0667","Agonus cataphractus",1
"12",55.5,1989,"55.3463_-6.7503","Agonus cataphractus",7
"13",58.5,1989,"58.4333_-6.0333","Agonus cataphractus",1
"14",59,1990,"58.6667_-4.1333","Agonus cataphractus",2
"15",59,1990,"58.6833_-4.15","Agonus cataphractus",2
"16",59,1990,"58.7167_-5.3667","Agonus cataphractus",2
"17",58.5,1991,"58.3833_-5.6667","Agonus cataphractus",1
"18",59,1991,"58.6667_-4.35","Agonus cataphractus",1
"19",55.5,1992,"55.45_-7.4833","Agonus cataphractus",6
"20",56,1992,"55.9333_-6.6833","Agonus cataphractus",1
"21",58,1992,"57.9333_-6.2525","Agonus cataphractus",1
"22",59,1992,"58.7132_-4.4333","Agonus cataphractus",13
"23",55.5,1993,"55.45_-7.5","Agonus cataphractus",2
"24",56,1993,"55.9333_-6.6833","Agonus cataphractus",4
"25",56.5,1993,"56.45_-6.6833","Agonus cataphractus",1
"26",59,1993,"58.6333_-7.25","Agonus cataphractus",2
"27",55.5,1994,"55.3833_-8.4","Agonus cataphractus",1
"28",55.5,1994,"55.45_-7.4667","Agonus cataphractus",18
"29",58.5,1994,"58.3667_-5.9667","Agonus cataphractus",1
"30",59,1994,"58.6167_-5.6","Agonus cataphractus",1
"31",59,1994,"58.7_-4.3167","Agonus cataphractus",5
"32",56,1995,"55.9667_-6.6333","Agonus cataphractus",2
"33",56,1996,"55.9167_-6.6833","Agonus cataphractus",5
"34",59.5,1996,"59.2167_-4.15","Agonus cataphractus",1
"44",56,1997,"55.9167_-6.7","Agonus cataphractus",20
"45",58.5,1997,"58.4167_-6.0333","Agonus cataphractus",1
"46",59,1997,"58.7_-4.4333","Agonus cataphractus",1
"47",59,1997,"58.7_-4.3167","Agonus cataphractus",8
"50",56,1998,"55.9667_-6.6333","Agonus cataphractus",1
"51",59,1998,"58.7_-4.3167","Agonus cataphractus",1
"55",58.5,1999,"58.3333_-5.9833","Agonus cataphractus",2
"65",59,2000,"58.7167_-4.3333","Agonus cataphractus",10
"70",59,2001,"58.7128_-4.4427","Agonus cataphractus",6
"71",59.5,2001,"59.3435_-5.1167","Agonus cataphractus",2
"79",55.5,2002,"55.2733_-5.2107","Agonus cataphractus",2
"80",55.5,2002,"55.4552_-7.5003","Agonus cataphractus",2
"81",56,2002,"55.8225_-7.677","Agonus cataphractus",2
"82",56,2002,"55.9487_-6.6495","Agonus cataphractus",12
"83",58.5,2002,"58.0122_-5.7797","Agonus cataphractus",2
"84",59,2002,"58.6778_-4.1742","Agonus cataphractus",30
"88",55.5,2003,"55.4748_-7.606","Agonus cataphractus",2
"95",55.5,2007,"55.3953_-6.7548","Agonus cataphractus",8
"96",58.5,1997,"58.2667_-6","Alosa alosa",1
"97",56.5,1987,"56.4167_-6.7333","Alosa fallax",1
"98",58,1987,"57.7167_-5.9833","Alosa fallax",1
"99",58.5,1995,"58.3833_-5.6","Alosa fallax",1
"100",58,1985,"57.5333_-9.0833","Amblyraja radiata",1
"101",58,1985,"57.65_-8.5167","Amblyraja radiata",11
"102",59,1985,"58.65_-4.3667","Amblyraja radiata",23
"103",59,1985,"58.7_-7.1833","Amblyraja radiata",1
"104",59,1985,"58.8_-5.0833","Amblyraja radiata",6
"105",59,1985,"58.8_-4.1","Amblyraja radiata",8
"106",59.5,1985,"59.05_-5.9167","Amblyraja radiata",3
"107",59.5,1985,"59.2667_-4.2833","Amblyraja radiata",5
"108",59.5,1985,"59.3333_-5.3167","Amblyraja radiata",3
"109",56.5,1995,"56.4833_-7.5167","Amblyraja radiata",3
"112",56.5,2002,"56.4815_-7.4962","Amblyraja radiata",6
"113",59,2002,"58.6778_-4.1742","Amblyraja radiata",6
"114",56.5,1985,"56.4333_-6.7167","Ammodytes marinus",1
"115",58.5,1985,"58.3833_-6.0667","Ammodytes marinus",2
